id,cases
1,12149335
2,12221665
3,12303131
4,12392260
5,12485509
6,12589067
7,12686049
8,12801785
9,12928574
10,13060542
11,13205926
12,13358805
13,13527717
14,13689453
15,13873825
16,14074564
17,14291917
18,14526609
19,14788003
20,15061805
21,15320972
22,15616130
23,15930774
24,16263695
25,16610481
26,16960172
27,17313163
28,17636186
29,17997113
30,18376421
31,18762976
32,19164969
33,19557457
34,19925517
35,20282833
36,20664979
37,21077410
38,21491598
39,21892676
40,22296081
41,22662575
42,22992517
43,23340938
44,23703665
45,24046809
46,24372907
47,24684077
48,24965463
49,25228996
50,25496330
51,25772440
52,26031991
53,26289290
54,26530132
55,26752447
56,26948874
57,27157795
58,27369093
59,27555457
60,27729247
61,27894800
62,28047534
63,28175044
64,28307832
65,28441986
66,28574350
67,28694879
68,28809339
69,28909975
70,28996473
71,29089069
72,29182532
73,29274823
74,29359155
75,29439989
76,29510410
77,29570881
78,29633105
79,29700313
80,29762793
81,29823546
82,29881772
83,29935221
84,29977861
85,30028709
86,30082778
87,30134445
88,30183143
89,30233183
90,30279331
91,30316897
92,30362848
93,30411634
94,30458251
95,30502362
96,30545433
97,30585229
98,30619932
99,30663665
100,30709557
101,30752950
102,30795716
103,30837222
104,30874376
105,30907282
106,30946147
107,30987880
108,31026829
109,31064908
110,31106065
111,31144229
112,31174322
113,31216337
114,31257720
115,31293062
116,31293062
117,31371901
118,31411262
119,31440951
120,31484605
121,31528114
122,31572344
123,31613993
124,31655824
125,31695958
126,31726507
